bravos_file,jikh_file,phrase
bravos_2026-08-27_cbknsJEshD8.txt,jikh_2026-06-30_Z_xvkbGWauU.txt,control the price of the most trusted money on earth
bravos_2026-08-27_cbknsJEshD8.txt,jikh_2026-06-30_Z_xvkbGWauU.txt,has the right to speak in the international gold market
bravos_2026-08-27_cbknsJEshD8.txt,jikh_2026-06-30_Z_xvkbGWauU.txt,the price of the most trusted money on earth and
bravos_2026-08-27_cbknsJEshD8.txt,jikh_2026-06-30_Z_xvkbGWauU.txt,when china has the right to speak in the international
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,a worldwide recession if the war in the middle east
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,fund is warning of a worldwide recession if the war
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,if the war in the middle east doesn t end
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,international monetary fund is warning of a worldwide recession if
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,is warning of a worldwide recession if the war in
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,monetary fund is warning of a worldwide recession if the
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,of a worldwide recession if the war in the middle
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,recession if the war in the middle east doesn t
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,the international monetary fund is warning of a worldwide recession
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,the war in the middle east doesn t end soon
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,warning of a worldwide recession if the war in the
bravos_2026-09-09_1ZS5_txbOsc.txt,jikh_2026-04-20_f353QO5Dgus.txt,worldwide recession if the war in the middle east doesn
