pair_id,channel,family,a_predicate,a_date,b_predicate,b_date,days_between,both_future_modal,status
C000114,bravos,dollar_direction,P00094,2026-04-23,P00292,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000115,bravos,dollar_direction,P00094,2026-04-23,P00310,2026-08-11,110,False,UNADJUDICATED_CANDIDATE
C000116,bravos,dollar_direction,P00094,2026-04-23,P00314,2026-08-11,110,False,UNADJUDICATED_CANDIDATE
C000117,bravos,dollar_direction,P00094,2026-04-23,P00332,2026-08-18,117,False,UNADJUDICATED_CANDIDATE
C000118,bravos,dollar_direction,P00094,2026-04-23,P00366,2026-08-27,126,False,UNADJUDICATED_CANDIDATE
C000119,bravos,dollar_direction,P00094,2026-04-23,P00380,2026-08-27,126,False,UNADJUDICATED_CANDIDATE
C000120,bravos,dollar_direction,P00094,2026-04-23,P00393,2026-09-05,135,False,UNADJUDICATED_CANDIDATE
C000121,bravos,dollar_direction,P00095,2026-04-23,P00175,2026-05-15,22,False,UNADJUDICATED_CANDIDATE
C000122,bravos,dollar_direction,P00095,2026-04-23,P00217,2026-06-11,49,False,UNADJUDICATED_CANDIDATE
C000123,bravos,dollar_direction,P00095,2026-04-23,P00235,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000124,bravos,dollar_direction,P00095,2026-04-23,P00247,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000125,bravos,dollar_direction,P00095,2026-04-23,P00274,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000126,bravos,dollar_direction,P00095,2026-04-23,P00280,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000127,bravos,dollar_direction,P00095,2026-04-23,P00281,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000128,bravos,dollar_direction,P00095,2026-04-23,P00292,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000129,bravos,dollar_direction,P00095,2026-04-23,P00310,2026-08-11,110,False,UNADJUDICATED_CANDIDATE
C000130,bravos,dollar_direction,P00095,2026-04-23,P00314,2026-08-11,110,False,UNADJUDICATED_CANDIDATE
C000131,bravos,dollar_direction,P00095,2026-04-23,P00332,2026-08-18,117,False,UNADJUDICATED_CANDIDATE
C000132,bravos,dollar_direction,P00095,2026-04-23,P00366,2026-08-27,126,False,UNADJUDICATED_CANDIDATE
C000133,bravos,dollar_direction,P00095,2026-04-23,P00380,2026-08-27,126,False,UNADJUDICATED_CANDIDATE
C000134,bravos,dollar_direction,P00095,2026-04-23,P00393,2026-09-05,135,False,UNADJUDICATED_CANDIDATE
C000135,bravos,dollar_direction,P00102,2026-04-23,P00175,2026-05-15,22,False,UNADJUDICATED_CANDIDATE
C000136,bravos,dollar_direction,P00102,2026-04-23,P00217,2026-06-11,49,False,UNADJUDICATED_CANDIDATE
C000137,bravos,dollar_direction,P00102,2026-04-23,P00235,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000138,bravos,dollar_direction,P00102,2026-04-23,P00247,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000139,bravos,dollar_direction,P00102,2026-04-23,P00274,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000140,bravos,dollar_direction,P00102,2026-04-23,P00280,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000141,bravos,dollar_direction,P00102,2026-04-23,P00281,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000142,bravos,dollar_direction,P00102,2026-04-23,P00292,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000143,bravos,dollar_direction,P00102,2026-04-23,P00310,2026-08-11,110,False,UNADJUDICATED_CANDIDATE
C000144,bravos,dollar_direction,P00102,2026-04-23,P00314,2026-08-11,110,False,UNADJUDICATED_CANDIDATE
C000145,bravos,dollar_direction,P00102,2026-04-23,P00332,2026-08-18,117,False,UNADJUDICATED_CANDIDATE
C000146,bravos,dollar_direction,P00102,2026-04-23,P00366,2026-08-27,126,False,UNADJUDICATED_CANDIDATE
C000147,bravos,dollar_direction,P00102,2026-04-23,P00380,2026-08-27,126,False,UNADJUDICATED_CANDIDATE
C000148,bravos,dollar_direction,P00102,2026-04-23,P00393,2026-09-05,135,False,UNADJUDICATED_CANDIDATE
C000149,bravos,dollar_direction,P00113,2026-04-23,P00153,2026-05-01,8,False,UNADJUDICATED_CANDIDATE
C000150,bravos,dollar_direction,P00113,2026-04-23,P00215,2026-06-11,49,False,UNADJUDICATED_CANDIDATE
C000151,bravos,dollar_direction,P00113,2026-04-23,P00230,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000152,bravos,dollar_direction,P00113,2026-04-23,P00234,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000153,bravos,dollar_direction,P00113,2026-04-23,P00236,2026-06-18,56,False,UNADJUDICATED_CANDIDATE
C000154,bravos,dollar_direction,P00113,2026-04-23,P00243,2026-06-18,56,True,UNADJUDICATED_CANDIDATE
C000155,bravos,dollar_direction,P00113,2026-04-23,P00273,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000156,bravos,dollar_direction,P00113,2026-04-23,P00277,2026-07-07,75,True,UNADJUDICATED_CANDIDATE
C000157,bravos,dollar_direction,P00113,2026-04-23,P00284,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000158,bravos,dollar_direction,P00113,2026-04-23,P00291,2026-07-07,75,True,UNADJUDICATED_CANDIDATE
C000159,bravos,dollar_direction,P00113,2026-04-23,P00294,2026-07-07,75,False,UNADJUDICATED_CANDIDATE
C000160,bravos,dollar_direction,P00113,2026-04-23,P00312,2026-08-11,110,False,UNADJUDICATED_CANDIDATE
C000161,bravos,dollar_direction,P00113,2026-04-23,P00329,2026-08-18,117,False,UNADJUDICATED_CANDIDATE
C000162,bravos,dollar_direction,P00113,2026-04-23,P00376,2026-08-27,126,True,UNADJUDICATED_CANDIDATE
C000163,bravos,dollar_direction,P00113,2026-04-23,P00381,2026-08-27,126,False,UNADJUDICATED_CANDIDATE
C000164,bravos,dollar_direction,P00153,2026-05-01,P00175,2026-05-15,14,False,UNADJUDICATED_CANDIDATE
C000165,bravos,dollar_direction,P00153,2026-05-01,P00217,2026-06-11,41,False,UNADJUDICATED_CANDIDATE
C000166,bravos,dollar_direction,P00153,2026-05-01,P00235,2026-06-18,48,False,UNADJUDICATED_CANDIDATE
C000167,bravos,dollar_direction,P00153,2026-05-01,P00247,2026-06-18,48,False,UNADJUDICATED_CANDIDATE
C000168,bravos,dollar_direction,P00153,2026-05-01,P00274,2026-07-07,67,False,UNADJUDICATED_CANDIDATE
C000169,bravos,dollar_direction,P00153,2026-05-01,P00280,2026-07-07,67,False,UNADJUDICATED_CANDIDATE
C000170,bravos,dollar_direction,P00153,2026-05-01,P00281,2026-07-07,67,False,UNADJUDICATED_CANDIDATE
C000171,bravos,dollar_direction,P00153,2026-05-01,P00292,2026-07-07,67,False,UNADJUDICATED_CANDIDATE
C000172,bravos,dollar_direction,P00153,2026-05-01,P00310,2026-08-11,102,False,UNADJUDICATED_CANDIDATE
C000173,bravos,dollar_direction,P00153,2026-05-01,P00314,2026-08-11,102,False,UNADJUDICATED_CANDIDATE
C000174,bravos,dollar_direction,P00153,2026-05-01,P00332,2026-08-18,109,False,UNADJUDICATED_CANDIDATE
C000175,bravos,dollar_direction,P00153,2026-05-01,P00366,2026-08-27,118,False,UNADJUDICATED_CANDIDATE
C000176,bravos,dollar_direction,P00153,2026-05-01,P00380,2026-08-27,118,False,UNADJUDICATED_CANDIDATE
C000177,bravos,dollar_direction,P00153,2026-05-01,P00393,2026-09-05,127,False,UNADJUDICATED_CANDIDATE
C000178,bravos,dollar_direction,P00175,2026-05-15,P00215,2026-06-11,27,False,UNADJUDICATED_CANDIDATE
C000179,bravos,dollar_direction,P00175,2026-05-15,P00230,2026-06-18,34,False,UNADJUDICATED_CANDIDATE
C000180,bravos,dollar_direction,P00175,2026-05-15,P00234,2026-06-18,34,False,UNADJUDICATED_CANDIDATE
C000181,bravos,dollar_direction,P00175,2026-05-15,P00236,2026-06-18,34,False,UNADJUDICATED_CANDIDATE
C000182,bravos,dollar_direction,P00175,2026-05-15,P00243,2026-06-18,34,True,UNADJUDICATED_CANDIDATE
C000183,bravos,dollar_direction,P00175,2026-05-15,P00273,2026-07-07,53,False,UNADJUDICATED_CANDIDATE
C000184,bravos,dollar_direction,P00175,2026-05-15,P00277,2026-07-07,53,True,UNADJUDICATED_CANDIDATE
C000185,bravos,dollar_direction,P00175,2026-05-15,P00284,2026-07-07,53,False,UNADJUDICATED_CANDIDATE
C000186,bravos,dollar_direction,P00175,2026-05-15,P00291,2026-07-07,53,True,UNADJUDICATED_CANDIDATE
C000187,bravos,dollar_direction,P00175,2026-05-15,P00294,2026-07-07,53,False,UNADJUDICATED_CANDIDATE
C000188,bravos,dollar_direction,P00175,2026-05-15,P00312,2026-08-11,88,False,UNADJUDICATED_CANDIDATE
C000189,bravos,dollar_direction,P00175,2026-05-15,P00329,2026-08-18,95,False,UNADJUDICATED_CANDIDATE
C000190,bravos,dollar_direction,P00175,2026-05-15,P00376,2026-08-27,104,True,UNADJUDICATED_CANDIDATE
C000191,bravos,dollar_direction,P00175,2026-05-15,P00381,2026-08-27,104,False,UNADJUDICATED_CANDIDATE
C000192,bravos,dollar_direction,P00215,2026-06-11,P00235,2026-06-18,7,False,UNADJUDICATED_CANDIDATE
C000193,bravos,dollar_direction,P00215,2026-06-11,P00247,2026-06-18,7,False,UNADJUDICATED_CANDIDATE
C000194,bravos,dollar_direction,P00215,2026-06-11,P00274,2026-07-07,26,False,UNADJUDICATED_CANDIDATE
C000195,bravos,dollar_direction,P00215,2026-06-11,P00280,2026-07-07,26,False,UNADJUDICATED_CANDIDATE
C000196,bravos,dollar_direction,P00215,2026-06-11,P00281,2026-07-07,26,False,UNADJUDICATED_CANDIDATE
C000197,bravos,dollar_direction,P00215,2026-06-11,P00292,2026-07-07,26,False,UNADJUDICATED_CANDIDATE
C000198,bravos,dollar_direction,P00215,2026-06-11,P00310,2026-08-11,61,False,UNADJUDICATED_CANDIDATE
C000199,bravos,dollar_direction,P00215,2026-06-11,P00314,2026-08-11,61,False,UNADJUDICATED_CANDIDATE
C000200,bravos,dollar_direction,P00215,2026-06-11,P00332,2026-08-18,68,False,UNADJUDICATED_CANDIDATE
C000201,bravos,dollar_direction,P00215,2026-06-11,P00366,2026-08-27,77,False,UNADJUDICATED_CANDIDATE
C000202,bravos,dollar_direction,P00215,2026-06-11,P00380,2026-08-27,77,False,UNADJUDICATED_CANDIDATE
C000203,bravos,dollar_direction,P00215,2026-06-11,P00393,2026-09-05,86,False,UNADJUDICATED_CANDIDATE
C000204,bravos,dollar_direction,P00217,2026-06-11,P00230,2026-06-18,7,False,UNADJUDICATED_CANDIDATE
C000205,bravos,dollar_direction,P00217,2026-06-11,P00234,2026-06-18,7,False,UNADJUDICATED_CANDIDATE
C000206,bravos,dollar_direction,P00217,2026-06-11,P00236,2026-06-18,7,False,UNADJUDICATED_CANDIDATE
C000207,bravos,dollar_direction,P00217,2026-06-11,P00243,2026-06-18,7,True,UNADJUDICATED_CANDIDATE
C000208,bravos,dollar_direction,P00217,2026-06-11,P00273,2026-07-07,26,False,UNADJUDICATED_CANDIDATE
C000209,bravos,dollar_direction,P00217,2026-06-11,P00277,2026-07-07,26,True,UNADJUDICATED_CANDIDATE
C000210,bravos,dollar_direction,P00217,2026-06-11,P00284,2026-07-07,26,False,UNADJUDICATED_CANDIDATE
C000211,bravos,dollar_direction,P00217,2026-06-11,P00291,2026-07-07,26,True,UNADJUDICATED_CANDIDATE
C000212,bravos,dollar_direction,P00217,2026-06-11,P00294,2026-07-07,26,False,UNADJUDICATED_CANDIDATE
C000213,bravos,dollar_direction,P00217,2026-06-11,P00312,2026-08-11,61,False,UNADJUDICATED_CANDIDATE
C000214,bravos,dollar_direction,P00217,2026-06-11,P00329,2026-08-18,68,False,UNADJUDICATED_CANDIDATE
C000215,bravos,dollar_direction,P00217,2026-06-11,P00376,2026-08-27,77,True,UNADJUDICATED_CANDIDATE
C000216,bravos,dollar_direction,P00217,2026-06-11,P00381,2026-08-27,77,False,UNADJUDICATED_CANDIDATE
C000217,bravos,dollar_direction,P00230,2026-06-18,P00274,2026-07-07,19,False,UNADJUDICATED_CANDIDATE
C000218,bravos,dollar_direction,P00230,2026-06-18,P00280,2026-07-07,19,False,UNADJUDICATED_CANDIDATE
C000219,bravos,dollar_direction,P00230,2026-06-18,P00281,2026-07-07,19,False,UNADJUDICATED_CANDIDATE
C000220,bravos,dollar_direction,P00230,2026-06-18,P00292,2026-07-07,19,False,UNADJUDICATED_CANDIDATE
C000221,bravos,dollar_direction,P00230,2026-06-18,P00310,2026-08-11,54,False,UNADJUDICATED_CANDIDATE
C000222,bravos,dollar_direction,P00230,2026-06-18,P00314,2026-08-11,54,False,UNADJUDICATED_CANDIDATE
C000223,bravos,dollar_direction,P00230,2026-06-18,P00332,2026-08-18,61,False,UNADJUDICATED_CANDIDATE
C000224,bravos,dollar_direction,P00230,2026-06-18,P00366,2026-08-27,70,False,UNADJUDICATED_CANDIDATE
C000225,bravos,dollar_direction,P00230,2026-06-18,P00380,2026-08-27,70,False,UNADJUDICATED_CANDIDATE
C000226,bravos,dollar_direction,P00230,2026-06-18,P00393,2026-09-05,79,False,UNADJUDICATED_CANDIDATE
C000227,bravos,dollar_direction,P00234,2026-06-18,P00274,2026-07-07,19,False,UNADJUDICATED_CANDIDATE
C000228,bravos,dollar_direction,P00234,2026-06-18,P00280,2026-07-07,19,False,UNADJUDICATED_CANDIDATE
C000229,bravos,dollar_direction,P00234,2026-06-18,P00281,2026-07-07,19,False,UNADJUDICATED_CANDIDATE
C000230,bravos,dollar_direction,P00234,2026-06-18,P00292,2026-07-07,19,False,UNADJUDICATED_CANDIDATE
C000231,bravos,dollar_direction,P00234,2026-06-18,P00310,2026-08-11,54,False,UNADJUDICATED_CANDIDATE
C000232,bravos,dollar_direction,P00234,2026-06-18,P00314,2026-08-11,54,False,UNADJUDICATED_CANDIDATE
C000233,bravos,dollar_direction,P00234,2026-06-18,P00332,2026-08-18,61,False,UNADJUDICATED_CANDIDATE
C000234,bravos,dollar_direction,P00234,2026-06-18,P00366,2026-08-27,70,False,UNADJUDICATED_CANDIDATE
C000235,bravos,dollar_direction,P00234,2026-06-18,P00380,2026-08-27,70,False,UNADJUDICATED_CANDIDATE
